problem_type,goal_check_delay,problem_number,execution_time,algorithm_name,solution_found
complex,0,24,13.04,Using C++ tasks,True
complex,0,24,14383.2,Recursive async,True
complex,0,24,10.95,C++ any_of,True
complex,0,24,38.0,Sequential,True
complex,0,24,508.57,Recursive C++ for_each,True
complex,0,3,37.36,Using C++ tasks,True
complex,0,3,41.36,C++ any_of,True
complex,0,3,37.62,Using C++ async,True
complex,0,3,35.7,Using C++ for_each,True
complex,0,3,17957.1,Recursive async,True
complex,0,3,13.46,Synchronization with thread director,True
complex,0,3,125.96,Sequential,True
complex,0,3,804.93,Recursive C++ for_each,True
complex,0,7,0.44,Using C++ async,True
complex,0,7,4.43,Synchronization with thread director,True
complex,0,7,0.42,Using C++ tasks,True
complex,0,7,1.65,C++ any_of,True
complex,0,7,16.33,Recursive C++ for_each,True
complex,0,7,2.59,Sequential,True
complex,0,7,0.35,Using C++ for_each,True
complex,0,7,25504.8,Recursive async,True
complex,0,42,1509.73,Recursive C++ for_each,False
complex,0,42,329.22,Using C++ for_each,False
complex,0,42,357.15,Using C++ tasks,False
complex,0,42,320.29,C++ any_of,False
complex,0,42,29107.2,Recursive async,False
complex,0,42,358.75,Using C++ async,False
complex,0,42,534.04,Synchronization with thread director,False
complex,0,42,1342.37,Sequential,False
complex,0,2,25953.2,Recursive async,True
complex,0,2,1.87,Using C++ for_each,True
complex,0,2,18.27,Sequential,True
complex,0,2,2.21,Using C++ tasks,True
complex,0,2,1.22,Using C++ async,True
complex,0,2,2.6,C++ any_of,True
complex,0,2,505.78,Recursive C++ for_each,True
complex,0,2,9.11,Synchronization with thread director,True
complex,0,29,0.78,C++ any_of,True
complex,0,29,0.64,Using C++ for_each,True
complex,0,29,0.85,Using C++ async,True
complex,0,29,527.31,Recursive async,True
complex,0,29,2.33,Synchronization with thread director,True
complex,0,29,112.87,Recursive C++ for_each,True
complex,0,29,1.76,Using C++ tasks,True
complex,0,29,3.82,Sequential,True
complex,0,0,0.44,Using C++ for_each,True
complex,0,0,4.09,Synchronization with thread director,True
complex,0,0,0.69,Using C++ async,True
complex,0,0,19.21,Sequential,True
complex,0,0,771.47,Recursive C++ for_each,True
complex,0,0,0.83,Using C++ tasks,True
complex,0,0,27403.4,Recursive async,True
complex,0,0,1.16,C++ any_of,True
complex,0,13,850.27,Recursive C++ for_each,False
complex,0,13,73.3,C++ any_of,False
complex,0,13,94.98,Using C++ for_each,False
complex,0,13,396.11,Synchronization with thread director,False
complex,0,13,79.6,Using C++ async,False
complex,0,13,559.88,Sequential,False
complex,0,13,80.97,Using C++ tasks,False
complex,0,13,13935.5,Recursive async,False
complex,0,16,34.68,Using C++ async,True
complex,0,16,10.24,Recursive C++ for_each,True
complex,0,16,29.68,Using C++ tasks,True
complex,0,16,303.4,Synchronization with thread director,True
complex,0,16,24.23,Using C++ for_each,True
complex,0,16,29.34,C++ any_of,True
complex,0,16,11524.7,Recursive async,True
complex,0,16,237.06,Sequential,True
complex,0,20,12.22,Synchronization with thread director,True
complex,0,20,3.1,Sequential,True
complex,0,20,0.45,Using C++ tasks,True
complex,0,20,0.12,Using C++ for_each,True
complex,0,20,0.09,C++ any_of,True
complex,0,20,0.34,Using C++ async,True
complex,0,20,30.93,Recursive C++ for_each,True
complex,0,20,397.3,Recursive async,True
complex,0,18,13.21,C++ any_of,True
complex,0,18,40.7,Synchronization with thread director,True
complex,0,18,21624.3,Recursive async,True
complex,0,18,834.47,Recursive C++ for_each,True
complex,0,18,7.95,Using C++ tasks,True
complex,0,18,88.87,Sequential,True
complex,0,18,8.13,Using C++ async,True
complex,0,18,6.93,Using C++ for_each,True
complex,0,5,112.98,Using C++ for_each,True
complex,0,5,103.93,Synchronization with thread director,True
complex,0,5,124.23,Using C++ tasks,True
complex,0,5,116.63,C++ any_of,True
complex,0,5,877.87,Recursive C++ for_each,True
complex,0,5,28373.5,Recursive async,True
complex,0,5,121.7,Using C++ async,True
complex,0,5,583.67,Sequential,True
complex,0,15,1.82,Using C++ tasks,True
complex,0,15,510.43,Recursive C++ for_each,True
complex,0,15,4.51,Sequential,True
complex,0,15,3.55,Using C++ async,True
complex,0,15,1.56,Using C++ for_each,True
complex,0,15,2.82,Synchronization with thread director,True
complex,0,15,446.45,Recursive async,True
complex,0,15,1.49,C++ any_of,True
complex,0,17,2.48,Using C++ async,True
complex,0,17,2.73,Using C++ tasks,True
complex,0,17,2.7,Using C++ for_each,True
complex,0,17,2.44,C++ any_of,True
complex,0,17,39.31,Synchronization with thread director,True
complex,0,17,13.78,Sequential,True
complex,0,17,246.85,Recursive C++ for_each,True
complex,0,17,29214.8,Recursive async,True
complex,0,37,10.16,C++ any_of,True
complex,0,37,784.15,Recursive C++ for_each,True
complex,0,37,35724.7,Recursive async,True
complex,0,37,8.71,Using C++ for_each,True
complex,0,37,51.35,Sequential,True
complex,0,37,8.66,Using C++ async,True
complex,0,37,40.74,Synchronization with thread director,True
complex,0,37,16.23,Using C++ tasks,True
complex,0,22,5.59,Using C++ for_each,True
complex,0,22,11.85,Using C++ tasks,True
complex,0,22,77.04,Sequential,True
complex,0,22,108.55,Synchronization with thread director,True
complex,0,22,921.51,Recursive C++ for_each,True
complex,0,22,7.48,C++ any_of,True
complex,0,22,19695.7,Recursive async,True
complex,0,22,8.03,Using C++ async,True
complex,0,23,9.32,Using C++ tasks,True
complex,0,23,5.62,Using C++ for_each,True
complex,0,23,1211.88,C++ any_of,True
complex,0,23,55.91,Sequential,True
complex,0,23,17048.7,Recursive async,True
complex,0,23,178.88,Synchronization with thread director,True
complex,0,23,512.47,Recursive C++ for_each,True
complex,0,23,8.62,Using C++ async,True
complex,0,25,4.3,Synchronization with thread director,True
complex,0,25,727.71,Recursive async,True
complex,0,25,84.49,Recursive C++ for_each,True
complex,0,25,2.61,Using C++ tasks,True
complex,0,25,2.23,Using C++ async,True
complex,0,25,2.21,C++ any_of,True
complex,0,25,2.17,Using C++ for_each,True
complex,0,25,11.09,Sequential,True
complex,0,27,1625.01,Recursive C++ for_each,False
complex,0,27,277.41,Using C++ for_each,False
complex,0,27,292.83,Using C++ async,False
complex,0,27,545.54,Synchronization with thread director,False
complex,0,27,294.48,C++ any_of,False
complex,0,27,1322.08,Sequential,False
complex,0,27,307.92,Using C++ tasks,False
complex,0,27,29402.3,Recursive async,False
complex,0,26,234.93,Sequential,True
complex,0,26,23.28,Using C++ async,True
complex,0,26,24.5,C++ any_of,True
complex,0,26,30.18,Using C++ tasks,True
complex,0,26,32.61,Using C++ for_each,True
complex,0,26,25337.1,Recursive async,True
complex,0,26,398.33,Synchronization with thread director,True
complex,0,26,446.42,Recursive C++ for_each,True
complex,0,14,2.47,C++ any_of,True
complex,0,14,1.03,Using C++ async,True
complex,0,14,2.35,Using C++ for_each,True
complex,0,14,0.79,Using C++ tasks,True
complex,0,14,48.04,Recursive C++ for_each,True
complex,0,14,22469.8,Recursive async,True
complex,0,14,72.22,Synchronization with thread director,True
complex,0,14,9.57,Sequential,True
complex,0,28,68.07,Recursive C++ for_each,True
complex,0,28,33.5,Synchronization with thread director,True
complex,0,28,15.53,Using C++ tasks,True
complex,0,28,12.01,Using C++ for_each,True
complex,0,28,12.69,C++ any_of,True
complex,0,28,147.95,Sequential,True
complex,0,28,25408.2,Recursive async,True
complex,0,28,11.81,Using C++ async,True
complex,10,49,90.45,C++ any_of,True
complex,10,49,90.81,Using C++ tasks,True
complex,10,49,89.97,Using C++ async,True
complex,10,49,90.47,Using C++ for_each,True
complex,10,49,102.64,Synchronization with thread director,True
complex,10,49,64.22,Recursive C++ for_each,True
complex,10,49,1442.45,Sequential,True
complex,10,49,14327.4,Recursive async,True
complex,10,48,45.19,C++ any_of,True
complex,10,48,70.64,Synchronization with thread director,True
complex,10,48,45.14,Using C++ for_each,True
complex,10,48,45.3,Using C++ async,True
complex,10,48,45.02,Using C++ tasks,True
complex,10,48,912.36,Recursive C++ for_each,True
complex,10,48,717.96,Sequential,True
complex,10,48,41008.5,Recursive async,True
complex,10,45,2420.61,Sequential,True
complex,10,45,16858.3,Recursive async,True
complex,10,45,100.1,C++ any_of,True
